Petal.L..Virginica Petal.W..Virginica-1
6 2.5 -1
5.1 1.9 -1
5.9 2.1 -1
5.6 1.8 -1
5.8 2.2 -1
6.6 2.1 -1
4.5 1.7 -1
6.3 1.8 -1
5.8 1.8 -1
6.1 2.5 -1
5.1 2 -1
5.3 1.9 -1
5.5 2.1 -1
5 2 -1
5.1 2.4 -1
5.3 2.3 -1
5.5 1.8 -1
6.7 2.2 -1
6.9 2.3 -1
5 1.5 -1
5.7 2.3 -1
4.9 2 -1
6.7 2 -1
4.9 1.8 -1
5.7 2.1 -1
6 1.8 -1
4.8 1.8 -1
4.9 1.8 -1
5.6 2.1 -1
5.8 1.6 -1
6.1 1.9 -1
6.4 2 -1
5.6 2.2 -1
5.1 1.5 -1
5.6 1.4 -1
6.1 2.3 -1
5.6 2.4 -1
5.5 1.8 -1
4.8 1.8 -1
5.4 2.1 -1
5.6 2.4 -1
5.1 2.3 -1
5.1 1.9 -1
5.9 2.3 -1
5.7 2.5 -1
5.2 2.3 -1
5 1.9 -1
5.2 2 -1
5.4 2.3 -1
5.1 1.8 -1
9.44783e-96 4.00193e-322 -1
2.12448e-322 2.12448e-322 -1
0 9.91601e-96 -1
8.51149e-96 4.05624e-86 -1
4.4584e-86 1.03805e-95 -1
1.20955e-312 1.63042e-322 -1
1.79322e-316 1.12589e-312 -1
1.58101e-322 4.00193e-322 -1
2.3342e-313 2.122e-314 -1
6.36599e-314 1.061e-313 -1
1.4854e-313 1.9098e-313 -1
1.03842e-95 8.51149e-96 -1
1.13205e-95 4.00193e-322 -1
1.12466e-312 1.79318e-316 -1
1.79253e-316 1.79298e-316 -1
1.7925e-316 1.7925e-316 -1
1.7925e-316 4.25733e-86 -1
3.95253e-322 4.00193e-322 -1
2.2233e-322 2.2233e-322 -1
0 8.51151e-96 -1
8.51149e-96 8.04334e-96 -1
9.916e-96 4.25732e-86 -1
1.04361e-312 1.3488e-321 -1
1.14552e-312 6.92446e-310 -1
6.92446e-310 6.92446e-310 -1
6.92446e-310 6.92446e-310 -1
6.92446e-310 6.92446e-310 -1
6.92446e-310 0 -1
0 0 -1
0 1.79335e-316 -1
3.45846e-323 2.122e-314 -1
2.122e-314 1.79252e-316 -1
-nan 9.88131e-324 -1
4.24399e-314 0 -1
4.24399e-314 4.24399e-314 -1
2.122e-314 1.0326e-321 -1
1.12589e-312 1.12589e-312 -1
2.12201e-314 1.79335e-316 -1
0 0 -1
4.24399e-314 4.00193e-322 -1
1.12466e-312 1.7925e-316 -1
1.79254e-316 1.79265e-316 -1
1.79253e-316 1.79253e-316 -1
1.79253e-316 4.25733e-86 -1
3.95253e-322 1.63042e-322 -1
1.79332e-316 1.12589e-312 -1
0 4.00193e-322 -1
1.82804e-322 1.82804e-322 -1
0 3.45302e-86 -1
1.03805e-95 8.03969e-96 -1
4.25732e-86 1.04361e-312 -1
5.53354e-322 4.00193e-322 -1
1.12466e-312 1.79253e-316 -1
1.79293e-316 1.79294e-316 -1
1.79254e-316 1.79254e-316 -1
1.79254e-316 9.83187e-96 -1
5.53354e-322 1.63042e-322 -1
1.79253e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.02567e-322 2.02567e-322 -1
0 3.45302e-86 -1
4.45839e-86 4.05626e-86 -1
4.25733e-86 9.91237e-96 -1
2.47033e-322 4.00193e-322 -1
1.12466e-312 1.7933e-316 -1
0 0 -1
1.79255e-316 1.79255e-316 -1
1.79255e-316 9.91237e-96 -1
5.53354e-322 1.63042e-322 -1
1.79254e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.2233e-322 2.2233e-322 -1
0 3.45302e-86 -1
4.25732e-86 3.85519e-86 -1
4.25732e-86 4.25734e-86 -1
1.10727e-312 4.00193e-322 -1
1.12466e-312 1.79327e-316 -1
1.79259e-316 1.79336e-316 -1
1.79256e-316 1.79256e-316 -1
1.79256e-316 4.25734e-86 -1
1.50196e-321 1.63042e-322 -1
1.79255e-316 1.12589e-312 -1
0 4.00193e-322 -1
2.32211e-322 2.32211e-322 -1
0 9.44785e-96 -1
9.44782e-96 8.04334e-96 -1
9.44783e-96 8.51151e-96 -1
1.06695e-307 4.00193e-322 -1
1.12466e-312 1.79259e-316 -1
0 0 -1
1.79257e-316 1.79257e-316 -1
1.79257e-316 8.51151e-96 -1
2.45057e-321 1.63042e-322 -1
